window_index,window_label,capacity,q,query,direction,restriction,status,endpoint_rational,ordered_tie_subset_count,restricted_tie_subset_count,shared_attaining_subset_count,ordered_only_attaining_subset_count,same_buffer_subset_witnessed,ordered_witness_sha256,restricted_witness_sha256
0,jan_weekday_am_n8,4,4,mean_selected_buffer_miles,upper,clique,ATTAINED_BY_RESTRICTED_FAMILY,100061/4000,1,1,1,0,True,503ceabdefa80c26189c5d2374daf0b390d079e86501c055ecfeff55e75c4b1a,2ed1e3322ee7087fbbe1608033b31fcc0e1ab500b868169421f694fc05581cc5
0,jan_weekday_am_n8,4,4,mean_selected_buffer_observed_duration_minutes,lower,clique,ATTAINED_BY_RESTRICTED_FAMILY,10457/240,1,1,1,0,True,051b2c2013cd00fd05880d10b23b20b3605cdea81cbfd555e8c098beeb0ec2e4,adda964053f227beb502c3849f699b2ab4d1af5581afebbd82a7ec6860ef9de7
0,jan_weekday_am_n8,4,4,mean_selected_buffer_observed_duration_minutes,upper,clique,ATTAINED_BY_RESTRICTED_FAMILY,973/15,1,1,1,0,True,cae573a0fc078f337d920b765d8fded5384bb454b221b2524a6b72fd27b6bf7e,f42e8d0dcf746ec44a9a9289e7baa55c6d3d081aa378ddaaf29d57a6b25c1e49
3,jan_weekend_am_n8,2,2,mean_selected_buffer_miles,lower,pair,ATTAINED_BY_RESTRICTED_FAMILY,2899/500,1,1,1,0,True,9aaf4b234463e8c4648f09ab14b5665f0f7e9578390ad8652adc5c8e1d8f2afd,8e3991fb9f354003f3bda576e13da6540c846d58ae8a7ff957d6ec0cf3b40dff
3,jan_weekend_am_n8,2,2,mean_selected_buffer_miles,upper,pair,ATTAINED_BY_RESTRICTED_FAMILY,39859/2000,1,1,1,0,True,b873bd67743f68b8e6f5f1e36cef2b66da471dffa2396171dea5c9f8aa29d019,d106f67a37ece40666ef4816314e6e78e7ce639ab90eaad72f027ee1795cdddd
3,jan_weekend_am_n8,2,2,mean_selected_buffer_observed_duration_minutes,lower,pair,ATTAINED_BY_RESTRICTED_FAMILY,406/15,1,1,1,0,True,1450ae5ab8a80ba123ca27d3d93412ac48fffbbb417fd88a39e68272aa886ee2,57cc24a8483bbdf7be4d2a0bc41b19dd30b94e3230861d59aee4e463554cec1b
3,jan_weekend_am_n8,2,2,mean_selected_buffer_observed_duration_minutes,upper,pair,ATTAINED_BY_RESTRICTED_FAMILY,3269/60,1,1,1,0,True,b873bd67743f68b8e6f5f1e36cef2b66da471dffa2396171dea5c9f8aa29d019,d106f67a37ece40666ef4816314e6e78e7ce639ab90eaad72f027ee1795cdddd
3,jan_weekend_am_n8,2,2,mean_selected_buffer_miles,lower,clique,ATTAINED_BY_RESTRICTED_FAMILY,2899/500,1,1,1,0,True,9aaf4b234463e8c4648f09ab14b5665f0f7e9578390ad8652adc5c8e1d8f2afd,caa41ea3bdf958507e6f4bf22717677c6cd7815d2bfc3354dbb9cdc4af21eec7
3,jan_weekend_am_n8,2,2,mean_selected_buffer_miles,upper,clique,ATTAINED_BY_RESTRICTED_FAMILY,39859/2000,1,1,1,0,True,b873bd67743f68b8e6f5f1e36cef2b66da471dffa2396171dea5c9f8aa29d019,00c41741ca156ddaecc1a1eca5ebe2d4879cb5c7194d4e419729ee46639485d7
3,jan_weekend_am_n8,2,2,mean_selected_buffer_observed_duration_minutes,lower,clique,ATTAINED_BY_RESTRICTED_FAMILY,406/15,1,1,1,0,True,1450ae5ab8a80ba123ca27d3d93412ac48fffbbb417fd88a39e68272aa886ee2,ba6077181ac0c0976bd366ecc692b61b7dda673d55e49dd821eae9ced589ec7e
3,jan_weekend_am_n8,2,2,mean_selected_buffer_observed_duration_minutes,upper,clique,ATTAINED_BY_RESTRICTED_FAMILY,3269/60,1,1,1,0,True,b873bd67743f68b8e6f5f1e36cef2b66da471dffa2396171dea5c9f8aa29d019,00c41741ca156ddaecc1a1eca5ebe2d4879cb5c7194d4e419729ee46639485d7
3,jan_weekend_am_n8,2,4,mean_selected_buffer_miles,lower,pair,ATTAINED_BY_RESTRICTED_FAMILY,26459/4000,1,1,1,0,True,0786da5268bb392745212ef1acf1b7435b460a9618d466b422f5f12069b04a85,c47fd5a8215ba572053797ba6c6d0c0f8058a68f5d2cd8c6dd4c64465c45fc0e
