buffer_rows,candidate_rows,certified_endpoint_pairs,closure_status,computationally_unresolved_endpoint_pairs,core_rows,core_start_local,endpoint_pairs,failure_message,failure_type,missing_public_query_value_endpoint_pairs,monotonicity_status,report_sha256,sensitivity_sha256,status,temporal_edges,uncertified_endpoint_pairs,window_index
485,544,120,PASS,0,59,2026-02-23T08:00:00,150,,,30,PARTIAL,4f0c897b94fb2f02d21cc8962e32b9a29cab2de81c720f100beb574c01718639,983aabd7104bc2a76a061f5c0f0badca5ca71af397fdf4f73c42acdb6ec16ca0,COMPLETED,22389,30,81
357,392,120,PASS,0,35,2026-02-23T12:00:00,150,,,30,PARTIAL,f6ebf888e6528bb7d4d47f6070e09fb83044905cae84bf4daffe888537790fc1,4223e91ec3fb5d297d92c79d5dc559efabc66af12405165cf47cf2f4f1a64f80,COMPLETED,9061,30,82
509,567,120,PASS,0,58,2026-02-23T17:30:00,150,,,30,PARTIAL,3ee3e86c4e614a00058ee183ced7abab871e274e043ae9cb09b6a106df2f7dea,76ebac56f7206212d311c8573c5f42f104d4a9bb730a500eed4bb96a1d850a93,COMPLETED,22679,30,83
,,,,,,2026-02-24T08:00:00,,no scan bin met the core-count and timestamp/id-integrity requirements,LiveDataError,,,,,INELIGIBLE_FIXED_CORE,,,84
389,446,120,PASS,0,57,2026-02-24T12:00:00,150,,,30,PARTIAL,12dec7a2b98c0e7c01cd22aaa0e12982d37c157eed85b329e8d44b56d8b98414,48a17ffeb0bb3c1b6546b6adfe094014f3da300388f34e4fcc5e6f3913b83877,COMPLETED,18168,30,85
546,603,120,PASS,0,57,2026-02-24T17:30:00,150,,,30,PARTIAL,7a887df76e490e160604e671383d41e6dd791ede649ec5ecc3be183544113f8d,1436899e541cf263e68fa049f96728e9c1991493e05c6643329bd3b47bbcfaf4,COMPLETED,24736,30,86
461,518,120,PASS,0,57,2026-02-25T08:00:00,150,,,30,PARTIAL,6f57558af0c4c69cf219e43200387ad1e3e226fb1ab4dd70bd96f25f7e324781,347bb25fd044d7c55420d730c7dc2081da0e75824e10712294a16147ec17e6d5,COMPLETED,20866,30,87
415,467,120,PASS,0,52,2026-02-25T12:00:00,150,,,30,PARTIAL,7aaf20fa70ad418b6ef6d0e499883e4f4b7d75402baf019919edee68b8a7e907,14904e8773c5ca4c538242f7cae155b443022e32c21ba69062e80a33f2128c0c,COMPLETED,17314,30,88
530,575,120,PASS,0,45,2026-02-25T17:30:00,150,,,30,PARTIAL,27489ccc441ff288ebaf4c0801fb94656414d7c1b46e7313dcfcf8c97e86c636,cc8bfd51f41f3aea967ddbebf59f215e2bbd24a88d3cdd23ea1a34b1eb7cafa1,COMPLETED,17859,30,89
548,597,120,PASS,0,49,2026-02-26T08:00:00,150,,,30,PARTIAL,d25ae599298c38a3ef7e9c02790e4b92bf3269421ce91cf161b57b4e838b1f0c,2554690594e472310dbc63eb678f21d1565347e814f3fd9c9b10d62fa97cbead,COMPLETED,19362,30,90
425,478,120,PASS,0,53,2026-02-26T12:00:00,150,,,30,PARTIAL,dcee3dc75bff1c93c739c1a563c7774d27b1a70aa66f967b7841d89fb8f6acb0,19d3dbf724fce428c8eb588ba98d6ec62ebe992b13cb8aca75bb9428be42c527,COMPLETED,15630,30,91
509,578,120,PASS,0,69,2026-02-26T17:30:00,150,,,30,PARTIAL,105a63ec2775457005d2ebec4eef851ba2f707b93294c7bc47269f2675c001e9,e8e69adb8c1c6832630476a8e1e9c44b2146da796a70d17fa16f877375daba95,COMPLETED,26269,30,92
,,,,,,2026-02-27T08:00:00,,"no complete, certified, monotone sensitivity query chain remains",LiveDataError,,,,,EXECUTION_FAILED,,,93
365,414,120,PASS,0,49,2026-02-27T12:00:00,150,,,30,PARTIAL,a72303488f39ff8d2e1a7be26311e3eb122bc6dd2feb02fd54f3661a853f28ef,c4ea5f68ab10bcb2a0139fca22f08d476e5159a3464bd988ad2fb7b7a7fc3bfb,COMPLETED,14324,30,94
661,730,118,PASS,2,69,2026-02-27T17:30:00,150,,,30,PARTIAL,78442fc0834be58a5e68ca87f4c9ad51616ea7f7705ab3ac4ba18adc48b51130,82b386b557afa7377c6a563689eb75a493e911ad03e0ec9aeb0d337d1f83edea,COMPLETED,36005,32,95
